comparison_id,experiment_id,evaluation_context,input_object,configuration_object,baseline_reference,candidate_method,comparison_metric,baseline_value,candidate_value,delta,directionality,interpretation,claim_boundary_status,review_status,ml_readiness,public_safety_boundary,notes
cmp_001,exp_001,benchmark_governance,input_synth_001,config_default_001,baseline_none,rule_based_trace_check,traceability_completeness,0.00,0.85,0.85,higher_is_better,candidate improves traceability completeness in synthetic review context,review_required,draft,evaluation_candidate,public_safe_synthetic,"Synthetic comparison row for reproducibility workflow only; no production claim"
cmp_002,exp_002,evidence_governance,input_synth_002,config_trace_001,exp_001,source_reference_check,input_traceability_score,0.62,0.88,0.26,higher_is_better,candidate improves source-reference coverage under synthetic conditions,review_required,draft,evaluation_candidate,public_safe_synthetic,"Supports input traceability review only"
cmp_003,exp_003,evaluation_science,input_synth_003,config_variant_001,exp_001,configuration_sensitivity_rule,configuration_stability_score,0.71,0.79,0.08,higher_is_better,candidate shows modest configuration stability improvement,review_required,draft,validation_candidate,public_safe_synthetic,"Configuration sensitivity remains draft and requires additional runs"
cmp_004,exp_004,evaluation_science,input_synth_004,config_default_001,exp_001,feature_consistency_rule,feature_consistency_score,0.69,0.83,0.14,higher_is_better,candidate improves feature consistency in synthetic examples,review_required,draft,validation_candidate,public_safe_synthetic,"Feature-object consistency requires reviewer confirmation"
cmp_005,exp_005,benchmark_governance,input_synth_005,config_default_002,exp_001,diagnostic_summary_rule,diagnostic_completeness_score,0.58,0.76,0.18,higher_is_better,candidate improves diagnostic completeness but remains unvalidated,review_required,draft,evaluation_candidate,public_safe_synthetic,"Diagnostic outputs are placeholders for review workflow testing"
cmp_006,exp_006,evaluation_science,input_synth_006,config_compare_001,exp_001,baseline_comparison_rule,baseline_agreement_score,0.64,0.81,0.17,higher_is_better,candidate improves agreement with expected synthetic baseline interpretation,review_required,draft,evaluation_candidate,public_safe_synthetic,"Prepares evaluation-quality report generation"
cmp_007,exp_007,claim_governance,input_synth_007,config_claim_001,exp_001,claim_boundary_rule,claim_boundary_completeness_score,0.66,0.91,0.25,higher_is_better,candidate improves supported and unsupported claim coverage,review_required,draft,evaluation_candidate,public_safe_synthetic,"Claim-boundary scoring remains synthetic and non-operational"
cmp_008,exp_008,claim_governance,input_synth_008,config_claim_002,exp_007,overclaim_flag_rule,overclaim_detection_score,0.52,0.84,0.32,higher_is_better,candidate improves overclaim flag detection in synthetic cases,review_required,draft,evaluation_candidate,public_safe_synthetic,"No claim of real-world overclaim detection"
cmp_009,exp_009,evidence_release,input_synth_009,config_release_001,exp_007,release_readiness_rule,release_readiness_alignment,0.60,0.82,0.22,higher_is_better,candidate improves alignment with synthetic release-readiness labels,review_required,draft,evaluation_candidate,public_safe_synthetic,"Release readiness is synthetic-review only"
cmp_010,exp_010,evaluation_quality,input_synth_010,config_summary_001,exp_001,evaluation_quality_rollup,evaluation_quality_score,0.61,0.80,0.19,higher_is_better,candidate improves roll-up evaluation quality score under synthetic assumptions,review_required,draft,evaluation_candidate,public_safe_synthetic,"Supports future evaluation quality report; no benchmark superiority claim"
